% 10
% Score #components [components] mutationId parentScore
337.0 1 337.0  0 10000.0
345.0 1 345.0  0 10000.0
348.0 1 348.0  0 10000.0
352.0 1 352.0  0 10000.0
340.0 1 340.0  0 10000.0
344.0 1 344.0  0 10000.0
342.0 1 342.0  0 10000.0
340.0 1 340.0  0 10000.0
344.0 1 344.0  0 10000.0
351.0 1 351.0  0 10000.0
332.0 1 332.0  0 10000.0
342.0 1 342.0  1 10000.0
337.0 1 337.0  2 10000.0
345.0 1 345.0  3 10000.0
348.0 1 348.0  4 10000.0
288.0 1 288.0  5 10000.0
339.0 1 339.0  6 10000.0
342.0 1 342.0  7 10000.0
344.0 1 344.0  8 10000.0
346.0 1 346.0  9 10000.0
302.0 1 302.0  0 10000.0

277.0 1 277.0  5 10000.0
302.0 1 302.0  0 10000.0
346.0 1 346.0  0 10000.0
349.0 1 349.0  2 10000.0
348.0 1 348.0  0 10000.0
342.0 1 342.0  6 10000.0
330.0 1 330.0  0 10000.0
344.0 1 344.0  0 10000.0
340.0 1 340.0  7 10000.0
340.0 1 340.0  1 10000.0
275.0 1 275.0  0 288.0
293.0 1 293.0  1 288.0
280.0 1 280.0  2 288.0
290.0 1 290.0  3 288.0
337.0 1 337.0  4 288.0
341.0 1 341.0  5 288.0
342.0 1 342.0  6 288.0
343.0 1 343.0  7 288.0
291.0 1 291.0  8 288.0
289.0 1 289.0  9 288.0
340.0 1 340.0  0 10000.0

287.0 1 287.0  0 288.0
281.0 1 281.0  5 10000.0
304.0 1 304.0  2 288.0
282.0 1 282.0  9 288.0
275.0 1 275.0  3 288.0
285.0 1 285.0  8 288.0
290.0 1 290.0  1 288.0
295.0 1 295.0  0 10000.0
340.0 1 340.0  0 10000.0
348.0 1 348.0  4 288.0
289.0 1 289.0  0 275.0
338.0 1 338.0  1 275.0
305.0 1 305.0  2 275.0
281.0 1 281.0  3 275.0
289.0 1 289.0  4 275.0
341.0 1 341.0  5 275.0
344.0 1 344.0  6 275.0
292.0 1 292.0  7 275.0
294.0 1 294.0  8 275.0
237.0 1 237.0  9 275.0
305.0 1 305.0  0 10000.0

242.0 1 242.0  9 275.0
290.0 1 290.0  3 288.0
278.0 1 278.0  3 275.0
279.0 1 279.0  5 10000.0
278.0 1 278.0  9 288.0
284.0 1 284.0  8 288.0
294.0 1 294.0  0 288.0
264.0 1 264.0  4 275.0
292.0 1 292.0  0 275.0
295.0 1 295.0  1 288.0
239.0 1 239.0  0 237.0
254.0 1 254.0  1 237.0
253.0 1 253.0  2 237.0
235.0 1 235.0  3 237.0
284.0 1 284.0  4 237.0
288.0 1 288.0  5 237.0
162.0 1 162.0  6 237.0
254.0 1 254.0  7 237.0
234.0 1 234.0  8 237.0
161.0 1 161.0  9 237.0
338.0 1 338.0  0 10000.0

166.0 1 166.0  9 237.0
151.0 1 151.0  6 237.0
224.0 1 224.0  8 237.0
255.0 1 255.0  3 237.0
227.0 1 227.0  0 237.0
251.0 1 251.0  9 275.0
254.0 1 254.0  2 237.0
250.0 1 250.0  7 237.0
