% 10
% Score #components [components] mutationId parentScore
337.0 1 337.0  0 10000.0
345.0 1 345.0  0 10000.0
348.0 1 348.0  0 10000.0
352.0 1 352.0  0 10000.0
340.0 1 340.0  0 10000.0
344.0 1 344.0  0 10000.0
342.0 1 342.0  0 10000.0
340.0 1 340.0  0 10000.0
344.0 1 344.0  0 10000.0
351.0 1 351.0  0 10000.0
332.0 1 332.0  0 10000.0
342.0 1 342.0  1 10000.0
337.0 1 337.0  2 10000.0
345.0 1 345.0  3 10000.0
292.0 1 292.0  4 10000.0
285.0 1 285.0  5 10000.0
339.0 1 339.0  6 10000.0
342.0 1 342.0  7 10000.0
344.0 1 344.0  8 10000.0
346.0 1 346.0  9 10000.0
293.0 1 293.0  0 10000.0

302.0 1 302.0  5 10000.0
310.0 1 310.0  4 10000.0
297.0 1 297.0  0 10000.0
349.0 1 349.0  0 10000.0
348.0 1 348.0  2 10000.0
342.0 1 342.0  0 10000.0
330.0 1 330.0  6 10000.0
344.0 1 344.0  0 10000.0
340.0 1 340.0  0 10000.0
340.0 1 340.0  7 10000.0
290.0 1 290.0  0 285.0
270.0 1 270.0  1 285.0
281.0 1 281.0  2 285.0
284.0 1 284.0  3 285.0
282.0 1 282.0  4 285.0
341.0 1 341.0  5 285.0
342.0 1 342.0  6 285.0
343.0 1 343.0  7 285.0
71.0 1 71.0  8 285.0
282.0 1 282.0  9 285.0
340.0 1 340.0  0 10000.0

60.0 1 60.0  8 285.0
293.0 1 293.0  1 285.0
276.0 1 276.0  2 285.0
285.0 1 285.0  9 285.0
300.0 1 300.0  4 285.0
281.0 1 281.0  3 285.0
272.0 1 272.0  0 285.0
308.0 1 308.0  0 10000.0
297.0 1 297.0  5 10000.0
298.0 1 298.0  4 10000.0
54.0 1 54.0  0 71.0
56.0 1 56.0  1 71.0
64.0 1 64.0  2 71.0
55.0 1 55.0  3 71.0
60.0 1 60.0  4 71.0
50.0 1 50.0  5 71.0
79.0 1 79.0  6 71.0
64.0 1 64.0  7 71.0
66.0 1 66.0  8 71.0
62.0 1 62.0  9 71.0
340.0 1 340.0  0 10000.0

70.0 1 70.0  5 71.0
76.0 1 76.0  0 71.0
52.0 1 52.0  3 71.0
67.0 1 67.0  1 71.0
75.0 1 75.0  4 71.0
50.0 1 50.0  8 285.0
58.0 1 58.0  9 71.0
58.0 1 58.0  7 71.0
72.0 1 72.0  2 71.0
64.0 1 64.0  8 71.0
67.0 1 67.0  0 50.0
72.0 1 72.0  1 50.0
69.0 1 69.0  2 50.0
75.0 1 75.0  3 50.0
73.0 1 73.0  4 50.0
71.0 1 71.0  5 50.0
71.0 1 71.0  6 50.0
71.0 1 71.0  7 50.0
67.0 1 67.0  8 50.0
63.0 1 63.0  9 50.0
347.0 1 347.0  0 10000.0

74.0 1 74.0  8 285.0
57.0 1 57.0  3 71.0
63.0 1 63.0  7 71.0
63.0 1 63.0  9 71.0
63.0 1 63.0  9 50.0
72.0 1 72.0  8 71.0
69.0 1 69.0  8 50.0
63.0 1 63.0  0 50.0
