% 32
% NB: sorted from best to worst
% Score #components [components] mutationId parentScore
-396.0 3 0.0 3.0 -399.0  0 1.0
-396.0 3 0.0 3.0 -399.0  0 1.0
-397.0 3 0.0 2.0 -399.0  0 1.0
-398.0 3 0.0 1.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
-399.0 3 0.0 0.0 -399.0  0 1.0
