   1   72   30404
   2   98   30404
   3   93   30410
   4   69   30444
   5   45   30474
   6   12   30477
   7    2   30517
   8   31   30590
   9   41   30657
  10   81   30657
  11   15   30672
  12   57   30678
  13   79   30735
  14   56   30755
  15   77   30758
  16   46   30857
  17    8   30871
  18   86   30886
  19   35   30955
  20    0   30994
  21   26   31158
  22   38   31535
  23   16   31596
  24   85   34875
  25   78   35450
  26   40   35486
  27   95   37098
  28   28   38345
  29   33   38800
  30   49   39290
  31   25   40353
  32   82   40354
  33   80   40615
  34   63   40725
  35   53   42674
  36   92   43733
