   1    6   30916
   2   73   30962
   3   66   30979
   4    5   30979
   5   80   30979
   6   12   30979
   7   20   31004
   8   48   31004
   9   83   31021
  10   18   31047
  11   42   31062
  12   13   31067
  13   89   31091
  14   67   31095
  15    2   31110
  16   77   31217
  17   37   31219
  18   40   31252
  19   69   31296
  20   29   31364
  21    7   31373
  22   87   31432
  23   79   31465
  24   61   31502
  25   39   31513
  26   74   31541
  27   10   31545
  28   31   31545
  29   56   31577
  30   46   31591
  31   99   31947
  32   57   33807
  33   22   36221
  34   65   37133
  35   28   37229
  36   84   37478
  37   93   37725
  38    1   37795
  39   59   37840
  40   72   38330
  41   58   38396
  42    3   38540
  43   30   38544
  44    0   39609
  45   14   40082
  46   54   42236
  47   91   43083
  48   11   43435
