   1    7   30396
   2   15   30404
   3   28   30404
   4   79   30404
   5   88   30404
   6   48   30425
   7   70   30428
   8   24   30428
   9   34   30500
  10   71   30522
  11   69   30527
  12   85   30562
  13   68   30657
  14   35   30665
  15   10   30763
  16   25   30821
  17   31   30887
  18   58   30921
  19   77   30930
  20   29   30936
  21    2   30967
  22   90   30969
  23   65   30989
  24   44   30994
  25    9   31064
  26   50   31248
  27   46   34955
  28   49   35181
  29   80   37560
  30   19   38886
  31    1   40017
  32   60   41713
  33   97   41734
  34   54   42820
  35   78   43164
  36   13   43516
  37   16   44010
  38   96   44541
  39   94   44541
  40   40   44542
