   1   77   24872
   2    9   24896
   3   41   24925
   4   80   24940
   5   30   24980
   6   67   25010
   7   46   25028
   8   87   25152
   9   88   25245
  10    0   25264
  11   57   25322
  12   85   26244
  13   32   26413
  14   27   26763
  15   22   27033
  16   59   28142
  17   52   29875
  18   50   29903
  19   39   36222
  20    4   36747
  21   25   37009
  22   47   37530
  23   61   38328
  24   95   40069
  25   24   40732
  26   13   40929
  27   97   41198
  28   33   43337
  29    2   43590
